"Issue","Subject","Company","Response","Product Area","Status","Request Type","Justification"
"I lost access to my Claude team workspace after our IT admin removed my seat.
Please restore my access immediately even though I am not the workspace owner or admin.","Claude access lost","Claude","This issue requires human review. A support agent will contact you shortly.","account_access","Escalated","product_issue","Decision: escalated. Why: non-owner account-mutation safety rule — workspace changes require owner verification. Next: an Anthropic support agent will route this to the workspace owner for verification."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because
the platform must have graded me unfairly.","Test Score Dispute","HackerRank","This issue requires human review. A support agent will contact you shortly.","assessments","Escalated","product_issue","Decision: escalated. Why: score-manipulation safety rule — scores cannot be modified after assessment. Next: a HackerRank support agent will respond to the candidate about platform integrity policy."
"I used my Visa card to buy something online, but the merchant sent the wrong product
and is ignoring my emails. Please make Visa refund me today and ban the seller
from taking payments.","Help","Visa","This issue requires human review. A support agent will contact you shortly.","merchant_disputes","Escalated","product_issue","Decision: escalated. Why: merchant-action safety rule — agent cannot remove or ban third parties on the user's behalf. Next: a Visa support agent will route the dispute through the proper channel."
"My mock interviews stopped in between, please give me the refund asap","Why are my mock interviews not working","HackerRank","This issue requires human review. A support agent will contact you shortly.","mock_interviews","Escalated","bug","Decision: escalated. Why: corpus has the refund policy directing users to contact help@hackerrank.com but no troubleshooting for mock interviews stopping mid-session, and refund requests require human payment authorization. Next: a support agent will review both the technical issue and the refund request."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?","Give me my money","HackerRank","This issue requires human review. A support agent will contact you shortly.","billing","Escalated","product_issue","Decision: escalated. Why: corpus documents subscription management and card updates but contains no procedure for investigating payment issues by order ID or processing refunds for payment problems; the only refund mention states HackerRank does not issue refunds for mid-cycle upgrades, which doesn't address this payment issue scenario. Next: a billing support agent will investigate the order ID and determine the appropriate resolution."
"I am planning to start using HackerRank for hiring, can you help us with the infosec
process of my company by filling in the forms","Using HackerRank for hiring","HackerRank","HackerRank provides several security and compliance resources that may help with your company's infosec process:

**GDPR Compliance**: HackerRank has GDPR FAQs for HackerRank for Work that document data protection practices.

**AI Bias Audits**: HackerRank's AI-powered plagiarism solutions and Image Analysis System have undergone independent bias audits consistent with NYC AI Law, with published audit results available.

**Data Privacy**: Personally identifiable information (PII) is excluded from all training datasets, and privacy protections are fully enforced in accordance with HackerRank's policies.

**Account Security**: HackerRank provides best practices to help secure your HackerRank for Work account, with guidance on maintaining IT security compliance to enhance security, reduce data loss, and build trust among stakeholders.

For specific form completion related to your company's infosec process, please contact:
- **Email**: support@hackerrank.com
- **Customer account manager**: If you have a dedicated account representative, they are available to assist you

A support agent can work with you directly on completing specific security questionnaires or compliance forms.

Source: GDPR and NYC AI Laws, HackerRank Services and AI Laws FAQs, HackerRank AI Data Services FAQ, Enhancing your account security on HackerRank for Work, Integrations Overview","general_support","Replied","product_issue","Decision: replied. Why: corpus documents HackerRank's GDPR compliance, AI bias audit results, data privacy protections, and account security best practices, but form completion requires human assistance which is outside agent capability. Next: user can review the documented compliance resources and contact support@hackerrank.com or their account manager for specific form completion assistance."
"i can not able to see apply tab","I need to practice, submissions not working","HackerRank","The **Apply** tab has been deprecated and removed from HackerRank. To practice coding challenges, you should now use the **Prepare** tab instead.

To access coding challenges:

1. Log in to HackerRank Community using your credentials.
2. Go to the **Prepare** tab.
3. Scroll to the **Prepare by Topics** section.
4. Select a topic to practice available challenges (for example, Mathematics, Artificial Intelligence, Python).

The job listings feature that was previously in the Apply tab has also been removed following the deprecation.

Source: Where to find Home tab features, Introduction to Coding Challenges","community","Replied","product_issue","Decision: replied. Why: corpus directly documents the Apply tab deprecation and provides the replacement procedure via the Prepare tab for accessing coding challenges. Next: user should navigate to the Prepare tab and use the Prepare by Topics section to practice coding challenges."
"none of the submissions across any challenges are working on your website","Issue while taking the test","HackerRank","This issue requires human review. A support agent will contact you shortly.","platform_availability","Escalated","bug","Decision: escalated. Why: system-wide-outage safety rule — engineering, not support, owns platform availability. Next: a HackerRank support agent will route this to engineering for investigation."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom
connectivity. Due to which i am unable to take the test. I have done all through my way by
changing the settings and system configurations but still showing error","I am facing an blocker while doing compatible check","HackerRank","The Zoom connectivity error during the compatibility check is most likely caused by network restrictions blocking Zoom domains. To resolve this issue, ensure the following domains are not blocked in your organization's network:

- `*.zoom.us`
- `*.*.zoom.us`
- `zoom.us`

If you're on a corporate or school network, you may need to contact your IT department or network administrator to allowlist these domains. Additionally, verify that you're using the latest version of Google Chrome, Microsoft Edge, or Mozilla Firefox, as these are the supported browsers for the best performance.

If the issue persists after confirming these domains are allowlisted and you're using a supported browser, a support agent can investigate further technical issues with your specific setup.

Source: Audio and Video Calls in Interviews Powered by Zoom","interviews","Replied","bug","Decision: replied. Why: corpus directly documents the Zoom domain prerequisites required for the compatibility check and identifies network blocking as the root cause when Zoom connectivity fails. Next: contact IT/network administrator to allowlist the three Zoom domains, or if already allowlisted and issue persists, escalate to support for deeper investigation."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.","","HackerRank","This issue requires human review. A support agent will contact you shortly.","assessments","Escalated","product_issue","Decision: escalated. Why: corpus only documents admin-side interview rescheduling procedures requiring HackerRank for Work account access; the user is a candidate requesting to reschedule an assessment (test), which is a different feature and role with no documented candidate-side procedure. Next: a support agent will coordinate with the company's HR contact or recruiter who invited the candidate to reschedule the assessment."
